,precision,recall,f1-score,support
AmazonEcho,0.9241902136457616,0.9390756302521008,0.9315734630079889,1428.0
BelkinWemoMotion,0.4824263038548753,0.59593837535014,0.5332080200501252,1428.0
BelkinWemoSwitch,0.45841209829867674,0.3396358543417367,0.3901850362027353,1428.0
Dropcam,1.0,1.0,1.0,1428.0
HPPrinter,0.8813559322033898,0.8739495798319328,0.8776371308016878,1428.0
NetatmoWeather,0.9848171152518979,0.9992997198879552,0.992005561348627,1428.0
NetatmoWelcome,0.7735042735042735,0.8872549019607843,0.8264840182648402,1428.0
PIX-STAR,0.8946015424164524,0.5296803652968036,0.6653919694072657,657.0
SamsungSmartCam,0.9094736842105263,0.907563025210084,0.9085173501577287,1428.0
SmartThings,0.9841379310344828,0.9992997198879552,0.9916608756080612,1428.0
TPLinkCam,0.8869625520110958,0.8956582633053222,0.8912891986062718,1428.0
TPLinkPlug,0.8445440956651719,0.8869701726844584,0.8652373660030628,637.0
TribySpeaker,0.9160887656033287,0.9250700280112045,0.9205574912891986,1428.0
WithingsBabyMonitor,0.9978708303761533,0.9845938375350141,0.9911878745153331,1428.0
accuracy,0.8512750949538795,0.8512750949538795,0.8512750949538795,0.8512750949538795
macro avg,0.8527418098625775,0.8402849623968208,0.8417810968044946,18430.0
weighted avg,0.8513424901735439,0.8512750949538795,0.8481534304066215,18430.0
