device_id,mac,is_iot,16-09-30_src,16-09-30_dst,16-09-30_total,16-09-23_src,16-09-23_dst,16-09-23_total,16-10-12_src,16-10-12_dst,16-10-12_total,days_present
SmartThings,d0:52:a8:00:67:5e,1,14970,14393,29363,15172,14451,29623,9189,8767,17956,3
AmazonEcho,44:65:0d:56:cc:d3,1,32340,23749,56089,31503,21111,52614,19070,14033,33103,3
NetatmoWelcome,70:ee:50:18:34:43,1,18712,15315,34027,21228,17521,38749,7512,6555,14067,3
SamsungSmartCam,00:16:6c:ab:6b:88,1,41523,15452,56975,67650,17623,85273,24298,7606,31904,3
Dropcam,30:8c:fb:2f:e4:b2,1,111530,111045,222575,121562,121141,242703,59055,58601,117656,3
BelkinWemoSwitch,ec:1a:59:79:f4:89,1,34067,29369,63436,36848,31899,68747,20089,16742,36831,3
BelkinWemoMotion,ec:1a:59:83:28:11,1,41928,41937,83865,44913,45051,89964,26804,26702,53506,3
NetatmoWeather,70:ee:50:03:b8:ac,1,6785,7250,14035,6194,7314,13508,4627,5091,9718,3
WithingsScale,00:24:e4:1b:6f:96,1,86,75,161,197,179,376,85,74,159,3
TribySpeaker,18:b7:9e:02:20:44,1,6106,4848,10954,5000,3959,8959,3490,2775,6265,3
HPPrinter,70:5a:0f:e4:9b:c0,1,6981,2247,9228,9005,5236,14241,5218,1853,7071,3
TPLinkCam,f4:f2:6d:93:51:f1,1,70878,47355,118233,7035,3898,10933,0,0,0,2
InsteonCam_wired,00:62:6e:51:27:2e,1,30692,18041,48733,0,0,0,17764,10146,27910,2
WithingsBabyMonitor,00:24:e4:11:18:a8,1,24149,23044,47193,23961,22944,46905,0,0,0,2
TPLinkPlug,50:c7:bf:00:56:39,1,1686,1091,2777,1682,1093,2775,0,0,0,2
NestProtect,18:b4:30:25:be:e4,1,153,123,276,110,94,204,0,0,0,2
WithingsAura,00:24:e4:20:28:c6,1,21563,12495,34058,0,0,0,7555,4733,12288,2
LiFXBulb,d0:73:d5:01:83:08,1,6346,6095,12441,0,0,0,3733,3583,7316,2
PIX-STAR,e0:76:d0:33:bb:85,1,2049,1000,3049,4572,3003,7575,0,0,0,2
iHome,74:c6:3b:29:d7:1d,1,4528,3878,8406,0,0,0,0,0,0,1
Blipcare,74:6a:89:00:2e:25,1,0,0,0,33,26,59,0,0,0,1
InsteonCam_wifi,e8:ab:fa:19:de:4f,1,0,0,0,0,0,0,0,0,0,0
NestDropcam,30:8c:fb:b6:ea:45,1,0,0,0,0,0,0,0,0,0,0
SamsungGalaxyTab,08:21:ef:3b:fc:e3,0,2907,2750,5657,16752,16412,33164,6927,15505,22432,3
Gateway,14:cc:20:51:33:ea,0,322247,369606,691853,427012,365824,792836,3235027,1641459,4876486,3
Laptop,74:2f:68:81:69:42,0,0,0,0,97202,158451,255653,1493809,2927595,4421404,2
AndroidPhone_2,b4:ce:f6:a7:a3:c2,0,0,0,0,9050,10739,19789,4554,4493,9047,2
iPhone,d0:a6:37:df:a1:e1,0,0,0,0,391,295,686,0,0,0,1
AndroidPhone_1,40:f3:08:ff:1e:da,0,0,0,0,0,0,0,0,0,0,0
MacBook,ac:bc:32:d4:6f:2f,0,0,0,0,0,0,0,0,0,0,0
MacBook_iPhone,f4:5c:89:93:cc:85,0,0,0,0,0,0,0,0,0,0,0
